	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
378	8.25	11.0	0	3.88725021728577e-12	1.17884486867904e-15
379	8.75	2.0	0	3.187401440768755e-12	5.999466464431396e-15
380	8.75	3.0	0	3.31831280286491e-12	4.522100159717604e-15
381	8.75	4.0	0	3.462454990753128e-12	3.073013019106873e-15
382	8.75	5.0	0	3.612996972200832e-12	1.075756081381962e-15
383	8.75	6.0	0	3.765214964074313e-12	3.769912521048758e-15
384	8.75	7.0	0	3.929716644040677e-12	6.335151748726566e-15
385	8.75	8.0	0	4.106746733432825e-12	7.580414072726073e-15
386	8.75	9.0	0	4.289738763621295e-12	3.618498663450818e-15
387	8.75	10.0	0	4.48700664583415e-12	4.787476567296356e-15
388	8.75	11.0	0	4.69460573674887e-12	4.144887666832697e-15
389	9.25	2.0	0	3.678330953991478e-12	5.004459083521295e-15
390	9.25	3.0	0	3.829998653570463e-12	1.467355225086364e-15
391	9.25	4.0	0	3.984997208912737e-12	6.267626598397967e-15
392	9.25	5.0	0	4.153007002256482e-12	4.057260045203304e-15
393	9.25	6.0	0	4.317599956665927e-12	4.487818895527449e-15
394	9.25	7.0	0	4.502764054036015e-12	5.076418767121373e-15
395	9.25	8.0	0	4.702263530241197e-12	7.471797016986447e-15
396	9.25	9.0	0	4.907067506688947e-12	2.81941895454676e-15
397	9.25	10.0	0	5.12053858677493e-12	4.94811933148896e-15
398	9.25	11.0	0	5.35736005047234e-12	5.175899143997576e-15
